cohortId,task,checksum,timeStamp,comparatorId
7369,runCohortOverlap,c09e26cee3e5d2532156548ee62cf419 8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:52:46Z,7377
7370,runCohortOverlap,f4a873182b5d713b85ebaea9c91d2549 8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:52:46Z,7377
7374,runCohortOverlap,df4abfcd3d59a6896a47d839090084fe 8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:52:46Z,7377
7376,runCohortOverlap,a2858c94d28031fd8dcac12121a8fb43 8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:52:46Z,7377
7361,runCohortOverlap,3e79f89c1b6d59013d19b5a0d899453f 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7362,runCohortOverlap,ac178c8f7f888dd9f2ca5c61c5bdfe90 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7364,runCohortOverlap,03a681492ac62c76872b645c614fda55 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7367,runCohortOverlap,fe581221c3d08dea4b80399c7ceacd5c 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7369,runCohortOverlap,c09e26cee3e5d2532156548ee62cf419 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7370,runCohortOverlap,f4a873182b5d713b85ebaea9c91d2549 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7374,runCohortOverlap,df4abfcd3d59a6896a47d839090084fe 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7376,runCohortOverlap,a2858c94d28031fd8dcac12121a8fb43 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7377,runCohortOverlap,8902e2bfb1c3a776a151289cb46cae7f 91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:46Z,7381
7361,runCohortOverlap,3e79f89c1b6d59013d19b5a0d899453f 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7362,runCohortOverlap,ac178c8f7f888dd9f2ca5c61c5bdfe90 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7364,runCohortOverlap,03a681492ac62c76872b645c614fda55 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7367,runCohortOverlap,fe581221c3d08dea4b80399c7ceacd5c 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7369,runCohortOverlap,c09e26cee3e5d2532156548ee62cf419 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7370,runCohortOverlap,f4a873182b5d713b85ebaea9c91d2549 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7374,runCohortOverlap,df4abfcd3d59a6896a47d839090084fe 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7376,runCohortOverlap,a2858c94d28031fd8dcac12121a8fb43 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7377,runCohortOverlap,8902e2bfb1c3a776a151289cb46cae7f 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7381,runCohortOverlap,91bf9b1f1b23e5b8ce95d91358c90b7a 4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:46Z,7382
7361,runCohortOverlap,3e79f89c1b6d59013d19b5a0d899453f 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7362,runCohortOverlap,ac178c8f7f888dd9f2ca5c61c5bdfe90 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7364,runCohortOverlap,03a681492ac62c76872b645c614fda55 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7367,runCohortOverlap,fe581221c3d08dea4b80399c7ceacd5c 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7369,runCohortOverlap,c09e26cee3e5d2532156548ee62cf419 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7370,runCohortOverlap,f4a873182b5d713b85ebaea9c91d2549 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7374,runCohortOverlap,df4abfcd3d59a6896a47d839090084fe 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7376,runCohortOverlap,a2858c94d28031fd8dcac12121a8fb43 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7377,runCohortOverlap,8902e2bfb1c3a776a151289cb46cae7f 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7381,runCohortOverlap,91bf9b1f1b23e5b8ce95d91358c90b7a 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7382,runCohortOverlap,4866ddaca6fc34709cb22ba179ba71db 6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:46Z,7396
7361,runCohortOverlap,3e79f89c1b6d59013d19b5a0d899453f 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7362,runCohortOverlap,ac178c8f7f888dd9f2ca5c61c5bdfe90 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7364,runCohortOverlap,03a681492ac62c76872b645c614fda55 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7367,runCohortOverlap,fe581221c3d08dea4b80399c7ceacd5c 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7369,runCohortOverlap,c09e26cee3e5d2532156548ee62cf419 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7370,runCohortOverlap,f4a873182b5d713b85ebaea9c91d2549 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7374,runCohortOverlap,df4abfcd3d59a6896a47d839090084fe 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7376,runCohortOverlap,a2858c94d28031fd8dcac12121a8fb43 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7377,runCohortOverlap,8902e2bfb1c3a776a151289cb46cae7f 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7381,runCohortOverlap,91bf9b1f1b23e5b8ce95d91358c90b7a 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7382,runCohortOverlap,4866ddaca6fc34709cb22ba179ba71db 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7396,runCohortOverlap,6c817b5690ed843bf21a68861ebf0613 8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:46Z,7398
7361,runCohortOverlap,3e79f89c1b6d59013d19b5a0d899453f a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:52:46Z,7399
7362,runCohortOverlap,ac178c8f7f888dd9f2ca5c61c5bdfe90 a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:52:46Z,7399
7364,runCohortOverlap,03a681492ac62c76872b645c614fda55 a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:52:46Z,7399
7367,runCohortOverlap,fe581221c3d08dea4b80399c7ceacd5c a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:52:46Z,7399
